# gt	L=5	L=7	L=9	L=11	L=21	L=31	L=41	L=51	L=61	L=71	L=81	L=91	L=101	L=201	L=301	L=401	L=501	L=601	L=701	L=801	L=901
0.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
5.500000e-01	3.198476e-01	3.198476e-01	3.198476e-01	3.198476e-01	3.198476e-01	3.198476e-01	3.198476e-01	3.198476e-01	3.198476e-01	3.198476e-01	3.198476e-01	3.198476e-01	3.198476e-01	3.198476e-01	3.198476e-01	3.198476e-01	3.198476e-01	3.198476e-01	3.198476e-01	3.198476e-01	3.198476e-01
1.100000e+00	3.363642e-01	3.363642e-01	3.363642e-01	3.363642e-01	3.363642e-01	3.363642e-01	3.363642e-01	3.363642e-01	3.363642e-01	3.363642e-01	3.363642e-01	3.363642e-01	3.363642e-01	3.363642e-01	3.363642e-01	3.363642e-01	3.363642e-01	3.363642e-01	3.363642e-01	3.363642e-01	3.363642e-01
1.650000e+00	5.127685e-01	5.127685e-01	5.127685e-01	5.127685e-01	5.127685e-01	5.127685e-01	5.127685e-01	5.127685e-01	5.127685e-01	5.127685e-01	5.127685e-01	5.127685e-01	5.127685e-01	5.127685e-01	5.127685e-01	5.127685e-01	5.127685e-01	5.127685e-01	5.127685e-01	5.127685e-01	5.127685e-01
2.200000e+00	7.343782e-01	7.343789e-01	7.343789e-01	7.343789e-01	7.343789e-01	7.343789e-01	7.343789e-01	7.343789e-01	7.343789e-01	7.343789e-01	7.343789e-01	7.343789e-01	7.343789e-01	7.343789e-01	7.343789e-01	7.343789e-01	7.343789e-01	7.343789e-01	7.343789e-01	7.343789e-01	7.343789e-01
2.750000e+00	2.541733e-01	2.541475e-01	2.541475e-01	2.541475e-01	2.541475e-01	2.541475e-01	2.541475e-01	2.541475e-01	2.541475e-01	2.541475e-01	2.541475e-01	2.541475e-01	2.541475e-01	2.541475e-01	2.541475e-01	2.541475e-01	2.541475e-01	2.541475e-01	2.541475e-01	2.541475e-01	2.541475e-01
3.300000e+00	4.853182e-01	4.855707e-01	4.855707e-01	4.855707e-01	4.855707e-01	4.855707e-01	4.855707e-01	4.855707e-01	4.855707e-01	4.855707e-01	4.855707e-01	4.855707e-01	4.855707e-01	4.855707e-01	4.855707e-01	4.855707e-01	4.855707e-01	4.855707e-01	4.855707e-01	4.855707e-01	4.855707e-01
3.850000e+00	4.301945e-01	4.301002e-01	4.301001e-01	4.301001e-01	4.301001e-01	4.301001e-01	4.301001e-01	4.301001e-01	4.301001e-01	4.301001e-01	4.301001e-01	4.301001e-01	4.301001e-01	4.301001e-01	4.301001e-01	4.301001e-01	4.301001e-01	4.301001e-01	4.301001e-01	4.301001e-01	4.301001e-01
4.400000e+00	3.452490e-01	3.359060e-01	3.358980e-01	3.358980e-01	3.358980e-01	3.358980e-01	3.358980e-01	3.358980e-01	3.358980e-01	3.358980e-01	3.358980e-01	3.358980e-01	3.358980e-01	3.358980e-01	3.358980e-01	3.358980e-01	3.358980e-01	3.358980e-01	3.358980e-01	3.358980e-01	3.358980e-01
4.950000e+00	4.677960e-01	4.948313e-01	4.949259e-01	4.949259e-01	4.949259e-01	4.949259e-01	4.949259e-01	4.949259e-01	4.949259e-01	4.949259e-01	4.949259e-01	4.949259e-01	4.949259e-01	4.949259e-01	4.949259e-01	4.949259e-01	4.949259e-01	4.949259e-01	4.949259e-01	4.949259e-01	4.949259e-01
